Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
17,5,140,0.0,1.0,0.0,0.0,516.0,349539.0
9,6,145,0.0,1.0,0.0,0.0,334.0,292407.0
35,4,155,0.0,1.0,0.0,0.0,305.0,6472923.0
6,5,172,0.0,1.0,0.0,0.0,457.0,5725142.0
4,4,173,0.0,1.0,0.0,0.0,336.0,5759883.0
10,5,181,0.0,1.0,0.0,0.0,517.0,4236176.0
10,5,182,0.0,1.0,0.0,0.0,609.0,4369552.0
16,5,184,0.0,1.0,0.0,0.0,517.0,3674918.0
5,5,185,0.0,1.0,0.0,0.0,485.0,3745713.0
5,5,186,0.0,1.0,0.0,0.0,455.0,4946097.0
4,4,194,0.0,1.0,0.0,0.0,304.0,2989201.0
11,5,200,0.0,1.0,0.0,0.0,455.0,3587854.0
5,5,203,0.0,1.0,0.0,0.0,455.0,3072469.0
10,5,207,0.0,1.0,0.0,0.0,487.0,3563786.0
24,4,212,0.0,1.0,0.0,0.0,426.0,5716238.0
30,6,218,0.0,1.0,0.0,0.0,152.0,48095.0
25,6,231,0.0,1.0,0.0,0.0,426.0,2648784.0
25,6,232,0.0,1.0,0.0,0.0,365.0,299568.0
16,5,234,0.0,1.0,0.0,0.0,487.0,3591743.0
6,5,241,0.0,1.0,0.0,0.0,396.0,303975.0
6,4,247,0.0,1.0,0.0,0.0,151.0,12964.0
5,4,248,0.0,1.0,0.0,0.0,275.0,699382.0
6,4,249,0.0,1.0,0.0,0.0,150.0,5169.0
28,5,250,0.0,1.0,0.0,0.0,456.0,3236934.0
17,5,257,0.0,1.0,0.0,0.0,456.0,2812962.0
7,4,259,0.0,1.0,0.0,0.0,304.0,3390832.0
29,5,261,0.0,1.0,0.0,0.0,454.0,3037059.0
13,5,266,0.0,1.0,0.0,0.0,395.0,3311094.0
25,6,267,0.0,1.0,0.0,0.0,426.0,4444252.0
13,5,268,0.0,1.0,0.0,0.0,393.0,345741.0
17,5,270,0.0,1.0,0.0,0.0,487.0,4763996.0
16,5,274,0.0,1.0,0.0,0.0,485.0,4211909.0
17,5,278,0.0,1.0,0.0,0.0,456.0,3045365.0
17,5,280,0.0,1.0,0.0,0.0,426.0,2503226.0
13,4,281,0.0,1.0,0.0,0.0,395.0,3379466.0
16,5,286,0.0,1.0,0.0,0.0,486.0,4995925.0
16,5,287,0.0,1.0,0.0,0.0,485.0,3698725.0
10,5,289,0.0,1.0,0.0,0.0,579.0,3360552.0
13,5,293,0.0,1.0,0.0,0.0,485.0,3162026.0
28,5,297,0.0,1.0,0.0,0.0,485.0,3295794.0
12,5,301,0.0,1.0,0.0,0.0,487.0,3771815.0
28,5,307,0.0,1.0,0.0,0.0,454.0,3810805.0
7,4,310,0.0,1.0,0.0,0.0,151.0,25636.0
28,5,314,0.0,1.0,0.0,0.0,426.0,514114.0
